description,url,price,rating,review_count,author,binding,bestseller
Two for Tripping: (A Snow Pirates Novel) (The Minnesota Snow Pirates Series),https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A069674112RGMV6E2L9DV&url=%2FTwo-Tripping-Pirates-Novel-Minnesota%2Fdp%2F1913878236%2Fref%3Dsr_1_84_sspa%3Fcrid%3D3O8O36XTXBKAX%26keywords%3Dnovels%26qid%3D1664557136%26qu%3DeyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%253D%253D%26sprefix%3Dnovels%252Caps%252C336%26sr%3D8-84-spons%26psc%3D1&qualifier=1664557136&id=5610545805487288&widgetName=sp_mtf,15.99,4.6 out of 5 stars,123,Lasairiona McMaster,Paperback,No
It Happened One Summer: A Novel,https://www.amazon.com/Happened-One-Summer-Novel/dp/0063045656/ref=sr_1_85?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557136&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-85,12.32,4.4 out of 5 stars,25322,Book 1 of 2: It Happened One Summer,Paperback,Editors' pick
The Girl and the Glim,https://www.amazon.com/Girl-Glim-India-Swift/dp/1684057418/ref=sr_1_86?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557136&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-86,11.69,4.8 out of 5 stars,69,Book 1 of 1: The Girl and the Glim,Paperback,No
The Midnight Library: A Novel,https://www.amazon.com/The-Midnight-Library-A-Novel/dp/B085S8BSYS/ref=sr_1_87?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557136&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-87,0.00,4.3 out of 5 stars,199496,"Matt Haig, Carey Mulligan, et al.",Audible Audiobook,Editors' pick
"Hell and Back: Longmire Mysteries, Book 18",https://www.amazon.com/Hell-Back-Longmire-Mysteries-Book/dp/B0B1QRSRN2/ref=sr_1_88?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557136&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-88,0.00,4.0 out of 5 stars,1919,Book 18 of 18: Walt Longmire Mysteries,Audible Audiobook,Editors' pick
The Brighter the Light,https://www.amazon.com/Brighter-Light-Mary-Ellen-Taylor-ebook/dp/B0998WPHDS/ref=sr_1_89?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557136&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-89,0.00,4.3 out of 5 stars,37860,Mary Ellen Taylor,Kindle,Best Seller
Rich Blood (Jason Rich Book 1),https://www.amazon.com/Rich-Blood-Jason-Book-ebook/dp/B09DYFQPNX/ref=sr_1_90?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557136&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-90,0.00,4.4 out of 5 stars,19668,Book 1 of 2: Jason Rich,Kindle,Best Seller
Lessons: A novel,https://www.amazon.com/Lessons-novel-Ian-McEwan/dp/0593535200/ref=sr_1_91?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557136&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-91,22.89,4.4 out of 5 stars,219,Ian McEwan,Hardcover,No
Treasure State: A Cassie Dewell Novel (Cassie Dewell Novels Book 6),https://www.amazon.com/Treasure-State-Cassie-Dewell-Novels-ebook/dp/B09CNDSKZJ/ref=sr_1_92?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557136&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-92,14.99,4.6 out of 5 stars,140,Book 6 of 6: Cassie Dewell Novels,Kindle,No
Make $1000 Selling on eBay Before Christmas (eBay Selling Made Easy),https://www.amazon.com/Make-1000-Selling-Before-Christmas/dp/1492765244/ref=sr_1_93?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557136&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-93,9.99,4.5 out of 5 stars,12,Book 9 of 12: eBay Selling Made Easy,Paperback,No
"House of Earth and Blood: Crescent City, Book 1",https://www.amazon.com/House-Earth-Blood-Crescent-City/dp/B082YHJS14/ref=sr_1_94?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557136&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-94,0.00,4.7 out of 5 stars,38711,Book 1 of 2: Crescent City,Audible Audiobook,Editors' pick
Watchmen (2019 Edition),https://www.amazon.com/Watchmen-2019-Alan-Moore/dp/1779501129/ref=sr_1_95?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557136&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-95,12.74,4.8 out of 5 stars,7740,Book 1 of 6: Watchmen,Paperback,Best Seller
Killers of a Certain Age,https://www.amazon.com/Killers-Certain-Age-Deanna-Raybourn-ebook/dp/B09N6VX4K7/ref=sr_1_96?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557136&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-96,14.99,4.4 out of 5 stars,702,Deanna Raybourn,Kindle,Editors' pick
The Hike,https://www.amazon.com/Hike-Susi-Holliday-ebook/dp/B09QCMRPZ7/ref=sr_1_97?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557136&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-97,4.99,3.8 out of 5 stars,6622,Susi Holliday,Kindle,Best Seller
What She Found (Tracy Crosswhite Book 9),https://www.amazon.com/What-Found-Tracy-Crosswhite-Book-ebook/dp/B08ZMWPP9Q/ref=sr_1_98?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557136&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-98,0.00,4.5 out of 5 stars,9601,Book 9 of 10: Tracy Crosswhite,Kindle,No
Besties: Find Their Groove (The World of Click),https://www.amazon.com/Besties-Their-Groove-World-Click/dp/0358561922/ref=sr_1_99?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557136&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-99,10.99,5.0 out of 5 stars,5,"Kayla Miller , Jeffrey Canino, et al.",Paperback,No
The Big Dark Sky,https://www.amazon.com/Audible-The-Big-Dark-Sky/dp/B09HCTJFY1/ref=sr_1_100?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557136&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-100,0.00,4.3 out of 5 stars,11082,"Dean Koontz, Fajer Al-Kaisi, et al.",Audible Audiobook,No
The Winners: A Novel (Beartown Series),https://www.amazon.com/Winners-Novel-Beartown-Fredrik-Backman/dp/1982112794/ref=sr_1_101?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557136&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-101,19.98,4.7 out of 5 stars,34,Book 3 of 3: Beartown,Hardcover,No
Layla,https://www.amazon.com/Layla-Colleen-Hoover/dp/1542000173/ref=sr_1_102?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557136&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-102,8.97,4.2 out of 5 stars,41106,Colleen Hoover,Paperback,Editors' pick
The French Kiss,https://www.amazon.com/French-Kiss-Lauren-Landish-ebook/dp/B0BDQLBYWZ/ref=sr_1_103?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557136&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-103,0.00,4.4 out of 5 stars,1076,"Lauren Landish , Valorie Clifton, et al.",Kindle,Best Seller
Swamp Spirits (Miss Fortune Mysteries Book 23),https://www.amazon.com/Swamp-Spirits-Miss-Fortune-Mysteries-ebook/dp/B0B9176WY5/ref=sr_1_105?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557136&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-105,5.99,4.8 out of 5 stars,5438,Book 23 of 23: Miss Fortune Mysteries,Kindle,No
Cloud Cuckoo Land: A Novel,https://www.amazon.com/Cloud-Cuckoo-Land-A-Novel/dp/B08TX66JJ7/ref=sr_1_106?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557136&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-106,0.00,4.5 out of 5 stars,22161,"Anthony Doerr, Marin Ireland, et al.",Audible Audiobook,Editors' pick
The Stopover (The Miles High Club Book 1),https://www.amazon.com/Stopover-Miles-High-Club-ebook/dp/B07QNKVR3N/ref=sr_1_107?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557136&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-107,0.00,4.5 out of 5 stars,31035,Book 1 of 4: The Miles High Club,Kindle,No
Crumbs,https://www.amazon.com/Crumbs-Danie-Stirling/dp/0358467810/ref=sr_1_108?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557136&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-108,13.84,4.4 out of 5 stars,18,Danie Stirling,Paperback,No
