description,url,price,rating,review_count,author,binding,bestseller
My Policeman: A Novel,https://www.amazon.com/My-Policeman-A-Novel/dp/B08ZJSH4GF/ref=sr_1_118?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-118,0.00,4.6 out of 5 stars,5281,"Bethan Roberts, Piers Hampton, et al.",Audible Audiobook,No
People We Meet on Vacation,https://www.amazon.com/People-Meet-Vacation-Emily-Henry/dp/1984806750/ref=sr_1_119?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-119,9.98,4.3 out of 5 stars,46679,Emily Henry,Paperback,Editors' pick
O Caledonia: A Novel,https://www.amazon.com/Caledonia-Novel-Elspeth-Barker/dp/1668004615/ref=sr_1_120?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-120,14.40,4.2 out of 5 stars,452,Elspeth Barker  and Maggie O'Farrell,Paperback,No
Luckiest Girl Alive: A Novel,https://www.amazon.com/Luckiest-Girl-Alive-Jessica-Knoll/dp/1476789649/ref=sr_1_121?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-121,10.94,4.0 out of 5 stars,8091,Jessica Knoll,Paperback,No
The Challenge: A Novel,https://www.amazon.com/Challenge-Novel-Danielle-Steel-ebook/dp/B09M32F1MP/ref=sr_1_122?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-122,14.99,4.5 out of 5 stars,3151,Danielle Steel,Kindle,No
"Crunch (A Click Graphic Novel, 5)",https://www.amazon.com/Crunch-Click-Graphic-Novel-Miller/dp/035839368X/ref=sr_1_123?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-123,10.99,4.7 out of 5 stars,63,Part of: A Click Graphic Novel (5 books),Paperback,No
A Court of Frost and Starlight (A Court of Thorns and Roses Book 4),https://www.amazon.com/Court-Frost-Starlight-Thorns-Roses-ebook/dp/B075818VDG/ref=sr_1_124?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-124,7.17,4.5 out of 5 stars,34409,Book 4 of 5: A Court of Thorns and Roses,Kindle,No
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,https://www.amazon.com/Thrones-Clash-Kings-Swords-Dragons/dp/0345535529/ref=sr_1_125?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-125,25.64,4.7 out of 5 stars,33308,Part of: A Song of Ice and Fire,Mass Market Paperback,No
Five Nights at Freddy's: Fazbear Frights Graphic Novel Collection #1,https://www.amazon.com/Five-Nights-Freddys-Fazbear-Collection/dp/1338792679/ref=sr_1_126?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-126,10.39,4.6 out of 5 stars,56,Book 1 of 2: Five Nights at Freddy's: Fazbear Frights Graphic Novel Collection,Paperback,Best Seller
The Fire and the Ore: A Novel,https://www.amazon.com/Fire-Ore-Novel-Olivia-Hawker-ebook/dp/B09KLLGPFV/ref=sr_1_127?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-127,4.99,4.2 out of 5 stars,3446,Olivia Hawker,Kindle,Best Seller
"Dragons and Demons: King's Dark Tidings, Book 5",https://www.amazon.com/Dragons-Demons-Kings-Dark-Tidings/dp/B0B4B93VSN/ref=sr_1_128?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-128,0.00,4.7 out of 5 stars,1193,Book 5 of 5: King's Dark Tidings,Audible Audiobook,No
Optimizing America: Fast Sustainable Economic Growth,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A08300353PQ4L1IYZY08L&url=%2FOptimizing-America-Sustainable-Economic-Growth%2Fdp%2F1981578323%2Fref%3Dsr_1_129_sspa%3Fcrid%3D3O8O36XTXBKAX%26keywords%3Dnovels%26qid%3D1664557139%26qu%3DeyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%253D%253D%26sprefix%3Dnovels%252Caps%252C336%26sr%3D8-129-spons%26psc%3D1&qualifier=1664557139&id=5269708528639806&widgetName=sp_mtf,8.99,3.8 out of 5 stars,112,Mr. Jarl B Jensen,Paperback,No
Quicksand: A Thrilling Novel of Western Romantic Suspense (The Champions),https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A03933373QPUNRSWH5S77&url=%2FQuicksand-Champions-Janet-Dailey%2Fdp%2F1496727371%2Fref%3Dsr_1_130_sspa%3Fcrid%3D3O8O36XTXBKAX%26keywords%3Dnovels%26qid%3D1664557139%26qu%3DeyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%253D%253D%26sprefix%3Dnovels%252Caps%252C336%26sr%3D8-130-spons%26psc%3D1&qualifier=1664557139&id=5269708528639806&widgetName=sp_mtf,23.40,4.6 out of 5 stars,405,Janet Dailey,Hardcover,No
Sèvres Protocol: An Epic War Novel (The Airmen Series),https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A0037774RRDV3C0D9E9U&url=%2FS%25C3%25A8vres-Protocol-Epic-Novel-Airmen%2Fdp%2F1793325820%2Fref%3Dsr_1_131_sspa%3Fcrid%3D3O8O36XTXBKAX%26keywords%3Dnovels%26qid%3D1664557139%26qu%3DeyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%253D%253D%26sprefix%3Dnovels%252Caps%252C336%26sr%3D8-131-spons%26psc%3D1&qualifier=1664557139&id=5269708528639806&widgetName=sp_mtf,19.99,4.5 out of 5 stars,333,David Lee Corley,Paperback,No
The Restaurant,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A07600742FL9W7AOGH7D3&url=%2FRestaurant-Pamela-M-Kelley%2Fdp%2F0991243560%2Fref%3Dsr_1_132_sspa%3Fcrid%3D3O8O36XTXBKAX%26keywords%3Dnovels%26qid%3D1664557139%26qu%3DeyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%253D%253D%26sprefix%3Dnovels%252Caps%252C336%26sr%3D8-132-spons%26psc%3D1&qualifier=1664557139&id=5269708528639806&widgetName=sp_mtf,10.79,4.1 out of 5 stars,16674,Pamela M. Kelley,Paperback,No
Their Vicious Darling (Vicious Lost Boys),https://www.amazon.com/Their-Vicious-Darling-Lost-Boys/dp/B0BCD4ZYT8/ref=sr_1_133?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-133,13.49,4.4 out of 5 stars,7454,Book 3 of 3: Vicious Lost Boys,Paperback,No
Wings of Fire: The Dark Secret: A Graphic Novel (Wings of Fire Graphic Novel #4) (4),https://www.amazon.com/Dark-Secret-Wings-Graphic-Novel/dp/1338344218/ref=sr_1_134?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-134,7.44,4.9 out of 5 stars,6448,Book 4 of 6: Wings of Fire Graphix,Paperback,No
Pen Pal,https://www.amazon.com/Pen-Pal-Standalone-Dark-Romance-ebook/dp/B09QRMJ6FP/ref=sr_1_135?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-135,0.00,4.5 out of 5 stars,12715,J.T. Geissinger,Kindle,No
The Golden Couple: A Novel,https://www.amazon.com/The-Golden-Couple-A-Novel/dp/B094DW93TB/ref=sr_1_136?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-136,0.00,4.4 out of 5 stars,13538,"Greer Hendricks, Sarah Pekkanen, et al.",Audible Audiobook,Editors' pick
Upgrade: A Novel,https://www.amazon.com/Upgrade-Novel-Blake-Crouch-ebook/dp/B09JV9NXXW/ref=sr_1_137?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-137,14.99,4.3 out of 5 stars,4617,Blake Crouch,Kindle,Editors' pick
The Measure: A Novel,https://www.amazon.com/Measure-Novel-Nikki-Erlick/dp/0063204207/ref=sr_1_138?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-138,16.14,4.3 out of 5 stars,3486,Nikki Erlick,Hardcover,Editors' pick
The Latecomer: A Novel,https://www.amazon.com/Latecomer-Jean-Hanff-Korelitz-ebook/dp/B092T9M6LJ/ref=sr_1_139?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-139,14.99,4.4 out of 5 stars,3418,Jean Hanff Korelitz,Kindle,Editors' pick
Ride On,https://www.amazon.com/Ride-Faith-Erin-Hicks/dp/1250772826/ref=sr_1_140?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-140,12.99,4.6 out of 5 stars,23,Faith Erin Hicks,Paperback,No
Terrible Beauty (Molotov Betrothal Book 1),https://www.amazon.com/Terrible-Beauty-Molotov-Betrothal-Book-ebook/dp/B09SP6BW6F/ref=sr_1_141?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-141,6.99,4.6 out of 5 stars,512,Book 1 of 1: Molotov Betrothal,Kindle,No
"Hook, Line, and Sinker: A Novel",https://www.amazon.com/Hook-Line-Sinker-Tessa-Bailey-ebook/dp/B0968BGXG4/ref=sr_1_142?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-142,10.99,4.4 out of 5 stars,16407,Book 2 of 2: It Happened One Summer,Kindle,Editors' pick
The House Across the Lake: A Novel,https://www.amazon.com/House-Across-Lake-Novel-ebook/dp/B09J216N77/ref=sr_1_143?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-143,14.99,3.9 out of 5 stars,6366,Riley Sager,Kindle,Editors' pick
"Haunting Adeline: Cat and Mouse Duet, Book 1",https://www.amazon.com/Haunting-Adeline-Mouse-Duet-Book/dp/B0BC9YDM8R/ref=sr_1_144?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-144,0.00,4.4 out of 5 stars,11252,Book 1 of 2: Cat and Mouse Duet,Audible Audiobook,No
Pretty and Reckless,https://www.amazon.com/Pretty-Reckless-Charity-Ferrell-ebook/dp/B00UFW0SJG/ref=sr_1_145?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-145,4.99,4.3 out of 5 stars,1441,Charity Ferrell,Kindle,No
Too Late,https://www.amazon.com/Too-Late-C-Hoover/dp/1540324168/ref=sr_1_146?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-146,12.99,4.3 out of 5 stars,18992,C. Hoover,Paperback,No
Bittersweet Memories (Off-Limits),https://www.amazon.com/Bittersweet-Memories-Off-Limits-Catharina-Maura-ebook/dp/B09PSMSYJY/ref=sr_1_148?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-148,0.00,4.5 out of 5 stars,4840,Part of: Off-Limits (4 books),Kindle,No
Beach Read,https://www.amazon.com/Beach-Read-Emily-Henry/dp/1984806734/ref=sr_1_149?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-149,7.35,4.4 out of 5 stars,42389,Emily Henry,Paperback,No
The Love of My Life: A Novel,https://www.amazon.com/Love-My-Life-Novel-ebook/dp/B098J337VY/ref=sr_1_150?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-150,14.99,4.3 out of 5 stars,9570,Rosie Walsh,Kindle,Editors' pick
Lore Olympus: Volume Two,https://www.amazon.com/Lore-Olympus-Two-Rachel-Smythe/dp/0593160304/ref=sr_1_151?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-151,17.56,4.9 out of 5 stars,2325,Rachel Smythe,Hardcover,No
Maybe Someday (1),https://www.amazon.com/Maybe-Someday-Colleen-Hoover/dp/1476753164/ref=sr_1_152?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-152,9.99,4.6 out of 5 stars,13385,Book 1 of 3: Maybe Someday,Paperback,No
Captive (Eve Duncan),https://www.amazon.com/Captive-Eve-Duncan-Iris-Johansen-ebook/dp/B09R1TK8NM/ref=sr_1_153?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-153,14.99,4.7 out of 5 stars,844,Book 29 of 29: Eve Duncan,Kindle,No
"Good-bye Stacey, Good-bye: A Graphic Novel (The Baby-sitters Club #11) (Adapted edition) (The Baby-Sitters Club Graphix)",https://www.amazon.com/Good-bye-Stacey-Baby-Sitters-Graphic-Novel/dp/1338616048/ref=sr_1_154?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-154,9.29,4.8 out of 5 stars,1812,Book 11 of 13: The Ba-Sitters Club Graphix,Paperback,No
The Family Remains: A Novel,https://www.amazon.com/The-Family-Remains-A-Novel/dp/B09GWDMWH7/ref=sr_1_155?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-155,0.00,4.3 out of 5 stars,5366,"Lisa Jewell, Dominic Thorburn, et al.",Audible Audiobook,No
22 Seconds (A Women's Murder Club Thriller),https://www.amazon.com/22-Seconds-Womens-Murder-Club-ebook/dp/B09FJLLNTV/ref=sr_1_156?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557139&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-156,14.99,4.5 out of 5 stars,18343,Book 22 of 23: A Women's Murder Club Thriller,Kindle,No
The Other Einstein: A Novel,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A025090680R33XTJTIC4&url=%2FOther-Einstein-Novel-Marie-Benedict%2Fdp%2F1492647586%2Fref%3Dsr_1_145_sspa%3Fcrid%3D3O8O36XTXBKAX%26keywords%3Dnovels%26qid%3D1664557141%26qu%3DeyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%253D%253D%26sprefix%3Dnovels%252Caps%252C336%26sr%3D8-145-spons%26psc%3D1&qualifier=1664557141&id=4810160986227132&widgetName=sp_atf_next,8.49,4.4 out of 5 stars,5725,Marie Benedict,Paperback,No
The Star and the Shamrock,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A022662433HARKS9KG6S4&url=%2FStar-Shamrock-Jean-Grainger%2Fdp%2FB09LY6QFB1%2Fref%3Dsr_1_146_sspa%3Fcrid%3D3O8O36XTXBKAX%26keywords%3Dnovels%26qid%3D1664557141%26qu%3DeyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%253D%253D%26sprefix%3Dnovels%252Caps%252C336%26sr%3D8-146-spons%26psc%3D1&qualifier=1664557141&id=4810160986227132&widgetName=sp_atf_next,21.40,4.6 out of 5 stars,9862,Jean Grainger,Hardcover,No
Operation Musketeer: An Epic War Novel (The Airmen Series),https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A0037930JP87755HUU4Y&url=%2FOperation-Musketeer-Epic-Novel-Airmen%2Fdp%2F1093434945%2Fref%3Dsr_1_147_sspa%3Fcrid%3D3O8O36XTXBKAX%26keywords%3Dnovels%26qid%3D1664557141%26qu%3DeyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%253D%253D%26sprefix%3Dnovels%252Caps%252C336%26sr%3D8-147-spons%26psc%3D1&qualifier=1664557141&id=4810160986227132&widgetName=sp_atf_next,19.99,4.5 out of 5 stars,312,David Lee Corley,Paperback,No
The Book Woman of Troublesome Creek: A Novel,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A02505063BAPNFECYYXCC&url=%2FBook-Woman-Troublesome-Creek-Novel%2Fdp%2F1492671525%2Fref%3Dsr_1_148_sspa%3Fcrid%3D3O8O36XTXBKAX%26keywords%3Dnovels%26qid%3D1664557141%26qu%3DeyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%253D%253D%26sprefix%3Dnovels%252Caps%252C336%26sr%3D8-148-spons%26psc%3D1&qualifier=1664557141&id=4810160986227132&widgetName=sp_atf_next,7.99,4.6 out of 5 stars,34898,Kim Michele Richardson,Paperback,No
22 Seconds (A Women's Murder Club Thriller),https://www.amazon.com/22-Seconds-Womens-Murder-Club-ebook/dp/B09FJLLNTV/ref=sr_1_149?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557141&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-149,14.99,4.5 out of 5 stars,18343,Book 22 of 23: A Women's Murder Club Thriller,Kindle,No
"Primer (Primer, 1)",https://www.amazon.com/Primer-Thomas-Krajewski/dp/1401296572/ref=sr_1_150?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557141&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-150,8.19,4.8 out of 5 stars,2186,Book 2 of 2: Primer,Paperback,Editors' pick
The Rose Code: A Novel,https://www.amazon.com/The-Rose-Code-A-Novel/dp/B089WHV9Y7/ref=sr_1_151?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557141&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-151,0.00,4.6 out of 5 stars,32792,"Kate Quinn, Saskia Maarleveld, et al.",Audible Audiobook,Editors' pick
Confess: A Novel,https://www.amazon.com/Confess-Novel-Colleen-Hoover/dp/1476791457/ref=sr_1_152?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557141&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-152,10.49,4.6 out of 5 stars,17422,Colleen Hoover,Paperback,Editors' pick
Kristy and the Snobs: A Graphic Novel (The Baby-sitters Club #10) (The Baby-Sitters Club Graphix),https://www.amazon.com/Kristy-Snobs-Graphic-Baby-sitters-Baby-Sitters/dp/1338304607/ref=sr_1_153?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557141&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-153,8.64,4.8 out of 5 stars,2789,Book 10 of 13: The Ba-Sitters Club Graphix,Paperback,No
Making the Match: A River Rain Novel,https://www.amazon.com/Making-Match-River-Rain-Novel-ebook/dp/B09QJ1D4RZ/ref=sr_1_154?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557141&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-154,5.99,4.5 out of 5 stars,658,Book 4 of 4: River Rain,Kindle,No
Daisy Jones & The Six: A Novel,https://www.amazon.com/Daisy-Jones-Six-audiobook/dp/B07K8WGT23/ref=sr_1_155?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557141&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-155,0.00,4.4 out of 5 stars,33783,"Jennifer Beals, Benjamin Bratt, et al.",Audible Audiobook,Editors' pick
The Hidden Kingdom (Wings of Fire Graphic Novel #3): A Graphix Book (Wings of Fire Graphix),https://www.amazon.com/Hidden-Kingdom-Wings-Graphic-Novel/dp/1338344056/ref=sr_1_156?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557141&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-156,9.50,4.9 out of 5 stars,5630,Book 3 of 6: Wings of Fire Graphix,Paperback,Teachers' pick
Fractured Freedom: A Brother's Best Friend Second Chance Romance,https://www.amazon.com/Fractured-Freedom-Brothers-Friend-Romance-ebook/dp/B09SFGJBDY/ref=sr_1_157?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557141&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-157,0.00,4.3 out of 5 stars,8357,Shain Rose,Kindle,No
The Club: A Novel,https://www.amazon.com/Club-Novel-Ellery-Lloyd-ebook/dp/B098QRN9WH/ref=sr_1_158?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557141&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-158,11.99,3.9 out of 5 stars,11151,Ellery Lloyd,Kindle,No
All Your Perfects: A Novel,https://www.amazon.com/All-Your-Perfects-Colleen-Hoover/dp/1501193325/ref=sr_1_159?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557141&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-159,10.31,4.6 out of 5 stars,18655,Colleen Hoover,Paperback,No
Apples Never Fall,https://www.amazon.com/Apples-Never-Fall/dp/B08V8939WY/ref=sr_1_160?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557141&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-160,0.00,4.2 out of 5 stars,56605,"Liane Moriarty, Caroline Lee, et al.",Audible Audiobook,Editors' pick
